commercial_area_code,commercial_area_name,business_type,day_of_week,quarter_count,total_transactions,weekday_transactions,weekday_days,weekday_daily_average,weekly_daily_average,day_index,day_weight
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHICKEN,THURSDAY,12,559946,97874,156,627.3974,510.9948,122.78,5
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHICKEN,FRIDAY,12,559946,96562,156,618.9872,510.9948,121.13,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHICKEN,SATURDAY,12,559946,60973,156,390.8526,510.9948,76.49,-5
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHICKEN,SUNDAY,12,559946,36479,157,232.3503,510.9948,45.47,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,FAST_FOOD,MONDAY,12,2252662,352986,157,2248.3185,2055.3677,109.39,2
3001492,명동 남대문 북창동 다동 무교동 관광특구,FAST_FOOD,TUESDAY,12,2252662,369874,157,2355.8854,2055.3677,114.62,3
3001492,명동 남대문 북창동 다동 무교동 관광특구,FAST_FOOD,WEDNESDAY,12,2252662,384837,157,2451.1911,2055.3677,119.26,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,FAST_FOOD,THURSDAY,12,2252662,384422,156,2464.2436,2055.3677,119.89,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,FAST_FOOD,FRIDAY,12,2252662,382843,156,2454.1218,2055.3677,119.4,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,FAST_FOOD,SATURDAY,12,2252662,197925,156,1268.75,2055.3677,61.73,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,FAST_FOOD,SUNDAY,12,2252662,179775,157,1145.0637,2055.3677,55.71,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,BUNSIK,MONDAY,12,7984012,1311910,157,8356.1146,7284.7447,114.71,3
3001492,명동 남대문 북창동 다동 무교동 관광특구,BUNSIK,TUESDAY,12,7984012,1381560,157,8799.7452,7284.7447,120.8,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,BUNSIK,WEDNESDAY,12,7984012,1382655,157,8806.7197,7284.7447,120.89,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,BUNSIK,THURSDAY,12,7984012,1387868,156,8896.5897,7284.7447,122.13,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,BUNSIK,FRIDAY,12,7984012,1360359,156,8720.25,7284.7447,119.71,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,BUNSIK,SATURDAY,12,7984012,671678,156,4305.6282,7284.7447,59.1,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,BUNSIK,SUNDAY,12,7984012,487982,157,3108.1656,7284.7447,42.67,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,CAFE_BEVERAGE,MONDAY,12,34943357,5652553,157,36003.5223,31884.2627,112.92,3
3001492,명동 남대문 북창동 다동 무교동 관광특구,CAFE_BEVERAGE,TUESDAY,12,34943357,6002433,157,38232.0573,31884.2627,119.91,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,CAFE_BEVERAGE,WEDNESDAY,12,34943357,6035543,157,38442.949,31884.2627,120.57,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,CAFE_BEVERAGE,THURSDAY,12,34943357,6091571,156,39048.5321,31884.2627,122.47,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,CAFE_BEVERAGE,FRIDAY,12,34943357,6105788,156,39139.6667,31884.2627,122.76,5
3001492,명동 남대문 북창동 다동 무교동 관광특구,CAFE_BEVERAGE,SATURDAY,12,34943357,3004479,156,19259.4808,31884.2627,60.4,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,CAFE_BEVERAGE,SUNDAY,12,34943357,2050990,157,13063.6306,31884.2627,40.97,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,BAKERY,MONDAY,12,4232179,675842,157,4304.7261,3861.6218,111.47,2
3001492,명동 남대문 북창동 다동 무교동 관광특구,BAKERY,TUESDAY,12,4232179,716267,157,4562.2102,3861.6218,118.14,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,BAKERY,WEDNESDAY,12,4232179,750572,157,4780.7134,3861.6218,123.8,5
3001492,명동 남대문 북창동 다동 무교동 관광특구,BAKERY,THURSDAY,12,4232179,730081,156,4680.0064,3861.6218,121.19,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,BAKERY,FRIDAY,12,4232179,741992,156,4756.359,3861.6218,123.17,5
3001492,명동 남대문 북창동 다동 무교동 관광특구,BAKERY,SATURDAY,12,4232179,359897,156,2307.0321,3861.6218,59.74,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,BAKERY,SUNDAY,12,4232179,257528,157,1640.3057,3861.6218,42.48,-6
3001493,동대문패션타운 관광특구,KOREAN_FOOD,MONDAY,12,3656911,537280,157,3422.1656,3336.8912,102.56,1
3001493,동대문패션타운 관광특구,KOREAN_FOOD,TUESDAY,12,3656911,558186,157,3555.3248,3336.8912,106.55,1
3001493,동대문패션타운 관광특구,KOREAN_FOOD,WEDNESDAY,12,3656911,577676,157,3679.465,3336.8912,110.27,2
3001493,동대문패션타운 관광특구,KOREAN_FOOD,THURSDAY,12,3656911,576760,156,3697.1795,3336.8912,110.8,2
3001493,동대문패션타운 관광특구,KOREAN_FOOD,FRIDAY,12,3656911,580028,156,3718.1282,3336.8912,111.42,2
