commercial_area_code,business_type,day_of_week,weight
3001495,CHINESE_FOOD,WEDNESDAY,1
3001495,CHINESE_FOOD,THURSDAY,1
3001495,CHINESE_FOOD,FRIDAY,2
3001495,CHINESE_FOOD,SATURDAY,0
3001495,CHINESE_FOOD,SUNDAY,-3
3001495,JAPANESE_FOOD,MONDAY,-2
3001495,JAPANESE_FOOD,TUESDAY,-2
3001495,JAPANESE_FOOD,WEDNESDAY,-1
3001495,JAPANESE_FOOD,THURSDAY,-1
3001495,JAPANESE_FOOD,FRIDAY,1
3001495,JAPANESE_FOOD,SATURDAY,3
3001495,JAPANESE_FOOD,SUNDAY,1
3001495,WESTERN_FOOD,MONDAY,-6
3001495,WESTERN_FOOD,TUESDAY,-5
3001495,WESTERN_FOOD,WEDNESDAY,-3
3001495,WESTERN_FOOD,THURSDAY,-3
3001495,WESTERN_FOOD,FRIDAY,0
3001495,WESTERN_FOOD,SATURDAY,6
3001495,WESTERN_FOOD,SUNDAY,6
3001495,CHICKEN,MONDAY,-3
3001495,CHICKEN,TUESDAY,-3
3001495,CHICKEN,WEDNESDAY,-2
3001495,CHICKEN,THURSDAY,-1
3001495,CHICKEN,FRIDAY,3
3001495,CHICKEN,SATURDAY,6
3001495,CHICKEN,SUNDAY,0
3001495,FAST_FOOD,MONDAY,-3
3001495,FAST_FOOD,TUESDAY,-2
3001495,FAST_FOOD,WEDNESDAY,-1
3001495,FAST_FOOD,THURSDAY,-2
3001495,FAST_FOOD,FRIDAY,1
3001495,FAST_FOOD,SATURDAY,4
3001495,FAST_FOOD,SUNDAY,3
3001495,BUNSIK,MONDAY,-2
3001495,BUNSIK,TUESDAY,-1
3001495,BUNSIK,WEDNESDAY,-1
3001495,BUNSIK,THURSDAY,-1
3001495,BUNSIK,FRIDAY,1
3001495,BUNSIK,SATURDAY,3
3001495,BUNSIK,SUNDAY,1
3001495,CAFE_BEVERAGE,MONDAY,-3
3001495,CAFE_BEVERAGE,TUESDAY,-3
3001495,CAFE_BEVERAGE,WEDNESDAY,-2
3001495,CAFE_BEVERAGE,THURSDAY,-2
3001495,CAFE_BEVERAGE,FRIDAY,0
3001495,CAFE_BEVERAGE,SATURDAY,6
3001495,CAFE_BEVERAGE,SUNDAY,4
3001495,BAKERY,MONDAY,-2
3001495,BAKERY,TUESDAY,-1
3001495,BAKERY,WEDNESDAY,-1
3001495,BAKERY,THURSDAY,-1
3001495,BAKERY,FRIDAY,0
3001495,BAKERY,SATURDAY,3
3001495,BAKERY,SUNDAY,2
3001496,KOREAN_FOOD,MONDAY,-1
3001496,KOREAN_FOOD,TUESDAY,1
3001496,KOREAN_FOOD,WEDNESDAY,2
3001496,KOREAN_FOOD,THURSDAY,3
3001496,KOREAN_FOOD,FRIDAY,1
